
"Store 40 Tons is in New York","Address"
"Alta Dispensary","52 Kenmare Street, New York, NY 10012, US"
"Bayside Cannabis","224-15 Union Turnpike, Oakland Garden, NY 11364, US"
"Big Gas","98 N Chestnut St, New Paltz, NY 12561, US"
"Black Market Canna","89 Main St, Poughkeepsie, NY 12601, US"
"Bloom Brothers","442 Broadway, Menands, NY 12204, US"
"Brownies","1686 Central Ave, Colonie, NY 12205, US"
"Bud & Honey","241 5th Ave, New York, NY 10016, US"
"Budega NYC","321 4th Ave, Park Slope, NY 11215, US"
"Canna Family Dispensary","102 159th Rd, Howard Beach, NY 11414, US"
"Cannabis Depot","23171 Murrock Cir, Watertown, NY 13601, US"
"Cannalicious","435 5th Ave, Park Slope, NY 11215, US"
"Cannavita","30-30 Steinway St, Astoria, NY 11103, US"
"Canterra","275 Cooper Ave, 102, Tonawanda, NY 14150, US"
"Chronic BK","483 3rd Ave, Brooklyn, NY 11215, US"
"Cloud 914","807 Washington St, Peekskill, NY 10566, US"
"Conbud - Manhattan","85 Delancey St, New York, NY 10002, US"
"County Road Cannabis","1326 County Rd 12, New Hampton, NY 10958, US"
"Dazed","33 Union Square W, New York, NY 10003, US"
"Electric City","1354 Lower Broadway, Schenectady, NY 12306, US"
"En Flor","32-64 85th St, Flushing, NY 11370, US"
"Enchanted Mountain Dispensary","24 Washington St, Ellicottville, NY 14731, US"
"Ether Cannabis","5100 Genesee St, Buffalo, NY 14225, US"
"Exit 31 Exotic","255 Genesee St, Utica, NY 13501, US"
"Fluent - Kingston","445 NY-28, Kingston, NY 12401, US"
"Fluent - White Plains","75 Mamaroneck Ave, White Plains, NY 10601, US"
"Forever 420","1118 Pennsylvania Ave, Brooklyn, NY 11207, US"
"Greenery Spot","246 Main St, Johnson City, NY 13790, US"
"Grow Together","2370 Coney Island Ave, Brooklyn, NY 11223, US"
"Happy Munkey - Brooklyn","453 Fulton St, Brooklyn, NY 11201, US"
"Happy Munkey - Manhattan","151 Dyckman St, St #159, New York, NY 10040, US"
"Herb-Z","109 E Taft Rd, North Syracuse, NY 13212, US"
"Herbwell - Bronx","372 E Fordham Rd, Bronx, NY 10458, US"
"Hibernica","3220 Westchester Ave, Bronx, NY 10461, US"
"High Life Health","19 Huguenot St, New Rochelle, NY 10801, US"
"House of Strains","16105 29th Ave, Queens, NY 11358, US"
"JFK Cannabis","175-01 Rockaway Blvd, Jamaica, NY 11434, US"
"Joe's Buds","4658 Onondaga Blvd, Syracuse, NY 13219, US"
"Joint Jungle","187 Mill Street, Liberty, NY 12754, US"
"Kings House of Fire","3006 E Main St, Cortlandt, NY 10567, US"
"Kush Klub","186 Orchard St, New York, NY 10002, US"
"Kushmart - Buffalo","5211 Broadway, Lancaster, NY 14086, US"
"LakeHouse Cannabis","156 Clinton Ave, Cortland, NY 13045, US"
"Leafology","244 Main St, White Plains, NY 10601, US"
"Lenox Hill Cannabis","334 E 73rd St, New York, NY 10021, US"
"Liberty Buds","1115 1st Ave., New York, NY 10065, US"
"Matawana","533 5th Ave, Brooklyn, NY 11215, US"
"New Metro","22150 Horace Harding Expy, Bayside, NY 11364, US"
"Northern Lights - Albany","100 Broadway, Suite 8, Menands, NY 12204, US"
"Nucleus","1819 2nd Ave, New York, NY 10128, US"
"NugHub","1350 Forest Ave, Staten Island, NY 10302, US"
"NY Cannabis Co","743 9th Ave, New York, NY 10019, US"
"OC Dispensary","769 Franklin Ave, Brooklyn, NY 11238, US"
"Purple Plains","32 Westchester Ave, Pound Ridge, NY 10576, US"
"Rise - Halfmoon","1675 US-9, Clifton Park, NY 12065, US"
"Rise - Henrietta","556 Jefferson Rd, Rochester, NY 14623, US"
"Rise - Syracuse","6701 Manlius Center Rd, East Syracuse, NY 13057, US"
"Root 9","1546 US-9, Wappingers Falls, NY 12590, US"
"Sacred Bloom","1308 Vestal Pkwy E, Vestal, NY 13850, US"
"Samples","886 NOIXON RD, POUGKEEPSE, NY 12603, US"
"Sesh NYC","4201 Webster Ave, Bronx, NY 10470, US"
"Society House","2441 Flatbush Ave, Brooklyn, NY 11234, US"
"Strong Strains","19 Technology Dr, Setauket- East Setauket, NY 11733, US"
"Superfly","57 W 86th St, New York, NY 10024, US"
"Sweet Life","1662 1st Ave., New York, NY 10028, US"
"The Cannabis Place - Queens","74-03 Metropolitan Ave, Queens, NY 11379, US"
"The Flowery - Brooklyn","692 Grand St, Brooklyn, NY 11211, US"
"The Flowery - Staten Island","3022 Veterans Rd W, Staten Island, NY 10309, US"
"The Green House","514 Congress St, Troy, NY 12180, US"
"The Joint - Buffalo","904 Elmwood Ave, Buffalo, NY 14222, US"
"The Plug","428 Rogers Ave, Brooklyn, NY 11225, US"
"The Village Green","41 New Hartford Shopping Center, New Hartford, NY 13413, US"
"Transcend","289 Oakwood Ave, Suite D, Troy, NY 12182, US"
"Treehouse Cannabis","28 NY-59, Nyack, NY 10960, US"
"Twenty8gramz","2201 Avenue U, Brooklyn, NY 11229, US"
"Upstate Pines","7345 S Broadway, Red Hook, NY 12571, US"
